,title,views,dy
0,"Instagram Compilation - 2 (Two Watches, Gym, Article) - Standup Comedy By Abhishek Upmanyu | Trash",4.4M views,4 days ago
1,Team Animals - Stand-Up Comedy by Abhishek Upmanyu,15M views,1 month ago
2,Khichdi Recipe - Abhishek Upmanyu,4.1M views,10 months ago
3,"Instagram Jokes Compilation(Colorblindness, Cycle, Students) | Abhishek Upmanyu",11M views,1 year ago
4,Names & Pigeons | Trash Jokes 4 | Ghatia Comedy by Abhishek Upmanyu,13M views,1 year ago
5,"Marriage, Indian English & 2019 Tour Announcement | Stand-Up Comedy by Abhishek Upmanyu",22M views,1 year ago
6,Trash Joke & Trial Show Snippets | Ghatia Comedy by Abhishek Upmanyu,11M views,1 year ago
7,"ABHISHEK UPMANYU |Friends, Crime, & The Cosmos | Stand-Up Comedy by Abhishek Upmanyu",38M views,2 years ago
8,"Trash ""Jokes"" - 2 | Ghatia Comedy by Abhishek Upmanyu",8.9M views,2 years ago
9,Porn | Stand-Up Comedy by Abhishek Upmanyu,27M views,2 years ago
10,"Trash ""Jokes"" - 1 | Ghatia comedy by Abhishek Upmanyu",2.9M views,4 years ago
11,"Breakup, Respecting Elders, & Discrimination | Stand-Up Comedy by Abhishek Upmanyu",30M views,4 years ago
12,"Delhi, Mumbai & Rich People | Stand-up Comedy by Abhishek Upmanyu",35M views,4 years ago
13,Indian Insults & Comebacks | Stand-up Comedy by Abhishek Upmanyu,25M views,4 years ago
